F# 0 0.0.93424
A# 0.0.93424 0.3.2562
G# 0.3.2562 0.5.6236
F# 0.5.6236 0.7.9546
A# 0.7.9546 0.10.0499
G# 0.10.0499 0.11.6463
F# 0.11.6463 0.14.8571
A# 0.14.8571 0.16.6893
G# 0.16.6893 0.18.4943
F# 0.18.4943 0.21.5692
A# 0.21.5692 0.23.3469
G# 0.23.3469 0.25.2063
C# 0.25.2063 0.27.5828
A# 0.27.5828 0.29.6689
G# 0.29.6689 0.30.5397
F# 0.30.5397 0.34.839
A# 0.34.839 0.36.3719
G# 0.36.3719 0.36.5442
C# 0.36.5442 0.39.3197
F# 0.39.3197 0.41.0522
A# 0.41.0522 0.42.0408
G# 0.42.0408 0.43.9546
C# 0.43.9546 0.45.932
F# 0.45.932 0.47.3288
A# 0.47.3288 0.49.0431
G# 0.49.0431 0.50.8844
C# 0.50.8844 0.51.9546
A# 0.51.9546 0.54.6122
D# 0.54.6122 0.58.9751
G# 0.58.9751 1.1.5057
C# 1.1.5057 1.5.161
A# 1.5.161 1.7.3197
D# 1.7.3197 1.11.746
G# 1.11.746 1.13.3152
C# 1.13.3152 1.17.2789
F# 1.17.2789 1.20.1542
A# 1.20.1542 1.21.7959
C# 1.21.7959 1.25.2336
F# 1.25.2336 1.26.4308
A# 1.26.4308 1.28.381
G# 1.28.381 1.28.4172
C# 1.28.4172 1.31.5193
B 1.31.5193 1.33.1791
A# 1.33.1791 1.36.0363
D# 1.36.0363 1.38.3492
G# 1.38.3492 1.38.5215
A# 1.38.5215 1.40.7438
B 1.40.7438 1.43.2834
F# 1.43.2834 1.46.3129
A# 1.46.3129 1.47.483
C# 1.47.483 1.50.6395
F# 1.50.6395 1.52.3991
A# 1.52.3991 1.54.3583
G# 1.54.3583 1.54.6667
C# 1.54.6667 1.57.2608
F# 1.57.2608 1.58.9025
A# 1.58.9025 2.0.28118
G# 2.0.28118 2.2.3129
F# 2.2.3129 2.5.1156
A# 2.5.1156 2.7.1927
G# 2.7.1927 2.8.3084
C# 2.8.3084 2.10.2948
A# 2.10.2948 2.11.7007
