D 0 0.4.1
A# 0.4.1 0.4.2167
C 0.4.2167 0.4.8333
A# 0.4.8333 0.4.95
C# 0.4.95 0.26.575
F 0.26.575 0.29.3083
D 0.29.3083 0.31.7583
D# 0.31.7583 0.32.925
F 0.32.925 0.34.7833
E 0.34.7833 0.36.6167
F 0.36.6167 0.38.3167
D 0.38.3167 0.39.8
G 0.39.8 0.42.25
C 0.42.25 0.45.875
E 0.45.875 0.47.25
G 0.47.25 0.48.6
A 0.48.6 0.49.8917
G# 0.49.8917 0.51.3
C 0.51.3 0.54.8833
D# 0.54.8833 0.55.775
E 0.55.775 0.56.9083
G# 0.56.9083 0.58.5583
G 0.58.5583 0.59.1333
D 0.59.1333 1.2.775
F# 1.2.775 1.5.225
E 1.5.225 1.8.875
F# 1.8.875 1.12.8333
C 1.12.8333 1.13.6917
E 1.13.6917 1.18.5833
F# 1.18.5833 1.18.6167
D 1.18.6167 1.23.6333
G 1.23.6333 1.24.5417
D 1.24.5417 1.28.7167
G 1.28.7167 1.29.5667
E 1.29.5667 1.32.95
D# 1.32.95 1.33.8083
D 1.33.8083 1.34.925
D# 1.34.925 1.36.6333
D 1.36.6333 1.37.5333
F# 1.37.5333 1.41.2
E 1.41.2 1.43.325
F# 1.43.325 1.43.5583
D# 1.43.5583 1.45.4333
F# 1.45.4333 1.47.9667
C 1.47.9667 1.50.5917
D# 1.50.5917 1.51.3667
E 1.51.3667 1.53.2333
A 1.53.2333 1.54.1833
A# 1.54.1833 1.54.6083
C 1.54.6083 1.55.8333
F# 1.55.8333 1.56.825
C 1.56.825 1.56.8833
F# 1.56.8833 1.56.9667
C 1.56.9667 2.0.99167
F 2.0.99167 2.2
G 2.2 2.3.275
C# 2.3.275 2.4.3167
D# 2.4.3167 2.6.0167
